county,lat,lng
Calhoun,33.7714,-85.8260
Lycoming,41.3434,-77.0645
Fayette,33.4139,-84.4943
St. Mary's,38.3024,-76.6059
Flagler,29.4614,-81.3136
Pennington,44.0037,-102.8238
Jefferson,44.0495,-75.9208
Gallatin,45.5404,-111.1704
Terrebonne,29.4148,-90.8663
Mercer,41.3022,-80.2577
Navajo,35.3996,-110.3214
LaPorte,41.5460,-86.7400
Douglas,43.2797,-123.1665
Kankakee,41.1377,-87.8618
Newton,33.5550,-83.8502
Ontario,42.8528,-77.2998
Eaton,42.5961,-84.8383
Hardin,37.6979,-85.9634
Craighead,35.8308,-90.6328
LaSalle,41.3440,-88.8859
Albemarle,38.0229,-78.5567
Cowlitz,46.1932,-122.6810
St. Lawrence,44.4964,-75.0690
Androscoggin,44.1658,-70.2065
Matanuska-Susitna,62.3155,-149.5728
Vigo,39.4306,-87.3900
Bradley,35.1541,-84.8596
Sumter,33.9162,-80.3823
Hanover,37.7601,-77.4910
Bartow,34.2377,-84.8403
Monongalia,39.6303,-80.0466
Yamhill,45.2327,-123.3081
Miami,40.0535,-84.2289
Warren,40.8572,-74.9973
Madison,32.6347,-90.0337
Houston,31.1532,-85.3025
Macon,39.8600,-88.9615
Cass,38.6470,-94.3549
DeKalb,41.8935,-88.7703
Highlands,27.3434,-81.3410
Eau Claire,44.7268,-91.2860
Whitfield,34.8056,-84.9672
Franklin,38.4111,-91.0750
Carver,44.8207,-93.8026
Bay,43.7074,-83.9921
Walworth,42.6685,-88.5419
Wicomico,38.3733,-75.6208
Cecil,39.5712,-75.9407
Platte,39.3803,-94.7738
Allen,40.7715,-84.1058
Etowah,34.0453,-86.0348
Woodbury,42.3897,-96.0448
Fond du Lac,43.7536,-88.4882
Adams,39.8715,-77.2179
Columbiana,40.7684,-80.7772
Craven,35.1249,-77.0939
Tompkins,42.4520,-76.4736
Flathead,48.2951,-114.0497
Rockwall,32.8978,-96.4079
Daviess,37.7318,-87.0873
Nevada,39.3013,-120.7688
Laramie,41.3071,-104.6896
Moore,35.3106,-79.4814
Roanoke,37.2785,-79.9581
Garland,34.5767,-93.1504
Putnam,41.4267,-73.7495
Montgomery,37.1743,-80.3872
Fairbanks North Star,64.8078,-146.5654
Lenawee,41.8951,-84.0664
Sevier,35.7846,-83.5242
Lafourche,29.5661,-90.4256
Madison,35.6082,-88.8385
Floyd,34.2632,-85.2143
Cleveland,35.3341,-81.5555
Ashtabula,41.7074,-80.7483
Story,42.0362,-93.4650
Dubuque,42.4688,-90.8825
Limestone,34.8101,-86.9814
Grant,47.2057,-119.4517
Sutter,39.0346,-121.6948
Hunt,33.1236,-96.0855
Marshall,34.3670,-86.3066
Sherburne,45.4439,-93.7746
Steuben,42.2678,-77.3838
Burleigh,46.9775,-100.4687
Lancaster,34.6867,-80.7054
Portsmouth,36.8468,-76.3540
Maury,35.6169,-87.0770
Nash,35.9673,-77.9864
Roanoke,37.2693,-80.0680
Franklin,46.5347,-118.8989
Geauga,41.4995,-81.1786
Bowie,33.4458,-94.4234
Campbell,38.9465,-84.3795
Pottawattamie,41.3366,-95.5423
Cabell,38.4203,-82.2417
Walton,33.7816,-83.7339
Lauderdale,34.9014,-87.6540
Cape May,39.1496,-74.8002
Grand Traverse,44.6688,-85.5605
Benton,44.4918,-123.4293
Tuscarawas,40.4409,-81.4738
Calvert,38.5434,-76.5687
Madison,37.7202,-84.2780
Rogers,36.3715,-95.6043
Victoria,28.7963,-96.9715
Suffolk,36.6953,-76.6398
Northumberland,40.8519,-76.7095
Rockingham,36.3960,-79.7750
Dallas,41.6849,-94.0398
Grafton,43.9407,-71.8208
Rockdale,33.6543,-84.0266
Burke,35.7496,-81.7048
Wayne,43.1566,-77.0294
St. Croix,45.0340,-92.4526
Ozaukee,43.3840,-87.9510
St. Clair,33.7157,-86.3146
Dougherty,31.5334,-84.2163
Frederick,39.2046,-78.2626
Lapeer,43.0901,-83.2218
Buchanan,39.6598,-94.8059
Dodge,43.4163,-88.7075
Christian,36.9696,-93.1889
Angelina,31.2548,-94.6119
Mendocino,39.4402,-123.3915
Josephine,42.3655,-123.5555
Orangeburg,33.4390,-80.8003
Bastrop,30.1036,-97.3120
Bannock,42.6685,-112.2246
Twin Falls,42.3560,-114.6672
Liberty,30.1516,-94.8122
Lawrence,40.9912,-80.3347
Muskingum,39.9654,-81.9444
Nassau,30.6107,-81.8016
Lee,34.2899,-88.6804
Crawford,41.6847,-80.1062
Glynn,31.2309,-81.5407
Jefferson,43.0208,-88.7759
Polk,44.9035,-123.4132
Lincoln,35.4856,-81.2235
Indiana,40.6520,-79.0876
Wood,39.2112,-81.5150
Island,48.1630,-122.5481
Chemung,42.1412,-76.7600
Orange,30.1213,-93.8939
Midland,43.6468,-84.3881
Cullman,34.1319,-86.8676
Bartholomew,39.2060,-85.8976
St. Landry,30.5989,-92.0058
Newport,41.5566,-71.2365
Howard,40.4836,-86.1169
Caldwell,35.9530,-81.5464
Henderson,32.2119,-95.8536
Payne,36.0773,-96.9756
Wilson,35.7051,-77.9187
Cascade,47.3080,-111.3470
Elmore,32.5966,-86.1491
Leavenworth,39.1993,-95.0380
Barrow,33.9932,-83.7127
Rockingham,38.5120,-78.8758
Lynchburg,37.4003,-79.1909
Bullitt,37.9701,-85.6959
Clinton,44.7462,-73.6782
Wagoner,35.9611,-95.5212
Talladega,33.3801,-86.1659
Natrona,42.9622,-106.7985
Clearfield,41.0000,-78.4742
Lewis,46.5778,-122.3927
Kosciusko,41.2441,-85.8607
Manitowoc,44.1199,-87.8097
Bedford,37.3152,-79.5242
Clinton,42.9437,-84.6015
Cape Girardeau,37.3840,-89.6844
White,35.2563,-91.7456
Putnam,36.1408,-85.4952
Oconee,34.7535,-83.0659
Floyd,38.3188,-85.9070
Bulloch,32.3968,-81.7432
Yuba,39.2690,-121.3513
Umatilla,45.5919,-118.7369
Cayuga,42.9175,-76.5545
Ross,39.3376,-83.0570
Cattaraugus,42.2486,-78.6788
Vermilion,40.1834,-87.7328
Chelan,47.8692,-120.6190
Cole,38.5054,-92.2816
Hancock,39.8236,-85.7732
Valencia,34.7155,-106.8090
Anderson,36.1185,-84.1985
Clallam,48.0493,-123.9280
Cheshire,42.9194,-72.2512
James City,37.3288,-76.7789
Hancock,41.0019,-83.6665
Augusta,38.1644,-79.1339
Coryell,31.3909,-97.7992
Lauderdale,32.4043,-88.6626
Scioto,38.8039,-82.9929
Van Buren,42.2513,-86.0189
Sullivan,41.7164,-74.7681
Forrest,31.1889,-89.2579
Monroe,25.3185,-81.1087
Raleigh,37.7714,-81.2487
Erie,41.3641,-82.6194
Riley,39.2966,-96.7352
Somerset,39.9725,-79.0283
Putnam,29.6086,-81.7443
Grays Harbor,47.1502,-123.7736
